Graph
Time (Seconds),X (Meters),Y (Meters),Z (Meters)
2.499999,0.0000000019,-0.0000000075,0.004800
2.549999,0.0000000019,-0.0000000075,0.004800
2.599999,0.0000000019,-0.0000000075,0.004800
2.649999,0.0000000019,-0.0000000075,0.004800
2.699999,0.0000000019,-0.0000000075,0.004800
2.749999,0.0000000019,-0.0000000075,0.004800
2.799999,0.0000000019,-0.0000000075,0.004800
2.849998,0.0000000019,-0.0000000075,0.004800
2.899998,0.0000000019,-0.0000000075,0.004800
2.949998,0.0000000019,-0.0000000075,0.004800
2.999998,0.0000000019,-0.0000000075,0.004800
3.049998,0.0000000019,-0.0000000075,0.004800
3.099998,0.0000000019,-0.0000000075,0.004800
3.149998,0.0000000019,-0.0000000075,0.004800
3.199998,0.0000000019,-0.0000000075,0.004800
3.249998,0.0000000019,-0.0000000075,0.004800
3.299998,0.0000000019,-0.0000000075,0.004800
3.349998,0.0000000019,-0.0000000075,0.004800
3.399998,0.0000000019,-0.0000000075,0.004800
3.449998,0.0000000019,-0.0000000075,0.004800
3.499998,0.0000000019,-0.0000000075,0.004800
3.549998,0.0000000019,-0.0000000075,0.004800
3.599998,0.0000000019,-0.0000000075,0.004800
3.649998,0.0000000019,-0.0000000075,0.004800
3.699998,0.0000000019,-0.0000000075,0.004800
3.749998,0.0000000019,-0.0000000075,0.004800
3.799998,0.0000000019,-0.0000000075,0.004800
3.849998,0.0000000019,-0.0000000075,0.004800
3.899997,0.0000000019,-0.0000000075,0.004800
3.949997,0.0000000019,-0.0000000075,0.004800
3.999997,0.0000000019,-0.0000000075,0.004800
4.049997,0.0000000019,-0.0000000075,0.004800
4.099998,0.0000000019,-0.0000000075,0.004800
4.149998,0.0000000019,-0.0000000075,0.004800
4.199998,0.0000000019,-0.0000000075,0.004800
4.249998,0.0000000019,-0.0000000075,0.004800
4.299998,0.0000000019,-0.0000000075,0.004800
4.349998,0.0000000019,-0.0000000075,0.004800
4.399999,0.0000000019,-0.0000000075,0.004800
4.449999,0.0000000019,-0.0000000075,0.004800
4.499999,0.0000000019,-0.0000000075,0.004800
4.549999,0.0000000019,-0.0000000075,0.004800
4.599999,0.0000000019,-0.0000000075,0.004800
